USDMXN.X.Open,USDMXN.X.High,USDMXN.X.Low,USDMXN.X.Close,USDMXN.X.Volume,USDMXN.X.Adjusted
10.3145,10.3616,10.303,10.3353,0,10.3353
10.313,10.3425,10.273,10.3109,0,10.3109
10.288,10.3319,10.287,10.3122,0,10.3122
10.3122,10.322,10.266,10.2871,0,10.2871
10.2868,10.3795,10.266,10.337,0,10.337
10.332,10.3798,10.325,10.3452,0,10.3452
10.346,10.4336,10.327,10.4197,0,10.4197
10.4197,10.4454,10.378,10.4332,0,10.4332
10.4313,10.445,10.336,10.3603,0,10.3603
10.3653,10.392,10.333,10.338,0,10.338
10.337,10.3605,10.294,10.3113,0,10.3113
10.3122,10.33,10.272,10.3112,0,10.3112
10.3108,10.3139,10.252,10.298,0,10.298
10.3195,10.327,10.283,10.307,0,10.307
10.285,10.3182,10.245,10.272,0,10.272
10.25,10.332,10.246,10.321,0,10.321
10.3175,10.3475,10.258,10.261,0,10.261
10.2865,10.2985,10.241,10.275,0,10.275
10.271,10.3001,10.242,10.2925,0,10.2925
10.2935,10.3225,10.249,10.297,0,10.297
10.2958,10.3144,10.26,10.299,0,10.299
NA,NA,NA,NA,NA,NA
10.367,10.392,10.334,10.3884,0,10.3884
10.3884,10.399,10.329,10.3514,0,10.3514
10.3535,10.357,10.311,10.334,0,10.334
10.311,10.3635,10.291,10.328,0,10.328
10.329,10.3507,10.291,10.3143,0,10.3143
10.3155,10.334,10.268,10.3053,0,10.3053
10.3075,10.3125,10.274,10.3048,0,10.3048
10.3048,10.3342,10.263,10.265,0,10.265
10.262,10.3059,10.261,10.3004,0,10.3004
10.2989,10.3442,10.267,10.2925,0,10.2925
10.2945,10.317,10.2,10.2,0,10.2
10.2228,10.25,10.19,10.2335,0,10.2335
10.231,10.2333,10.134,10.134,0,10.134
10.1842,10.1903,10.102,10.1325,0,10.1325
10.1325,10.1449,10.005,10.0342,0,10.0342
10.036,10.0828,9.9803,10.0065,0,10.0065
10.0061,10.0422,9.9828,10.03,0,10.03
10.0297,10.1207,9.985,10.069,0,10.069
10.087,10.1152,10.03,10.0515,0,10.0515
10.0502,10.0673,10.019,10.0433,0,10.0433
10.0433,10.0575,9.993,10.0193,0,10.0193
9.9974,10.046,9.992,10.0301,0,10.0301
10.0292,10.0347,9.894,9.966,0,9.966
9.9431,9.96,9.834,9.8665,0,9.8665
9.8665,9.9337,9.844,9.912,0,9.912
9.887,9.966,9.881,9.9488,0,9.9488
9.950499,10.0133,9.91,10.0074,0,10.0074
10.0074,10.1648,9.988,10.122,0,10.122
10.1592,10.1835,10.095,10.1822,0,10.1822
10.183,10.2015,10.105,10.157,0,10.157
10.157,10.2116,10.129,10.1542,0,10.1542
10.1542,10.187,10.119,10.1545,0,10.1545
10.157,10.2246,10.138,10.203,0,10.203
10.1841,10.1851,10.11,10.1744,0,10.1744
10.179,10.2146,10.102,10.1278,0,10.1278
10.128,10.183,10.093,10.1345,0,10.1345
10.1367,10.1459,10.068,10.0894,0,10.0894
10.101,10.148,10.054,10.113,0,10.113
10.12,10.1467,10.068,10.1379,0,10.1379
10.165,10.1915,10.131,10.1547,0,10.1547
10.1563,10.158,10.109,10.1437,0,10.1437
10.1434,10.2545,10.134,10.2496,0,10.2496
10.2498,10.3015,10.221,10.293,0,10.293
10.251,10.3495,10.251,10.3378,0,10.3378
10.3381,10.3929,10.314,10.3639,0,10.3639
10.3642,10.4141,10.337,10.3805,0,10.3805
10.3807,10.5455,10.359,10.5403,0,10.5403
10.5405,10.5602,10.432,10.491,0,10.491
10.4482,10.512,10.373,10.49,0,10.49
10.4893,10.5769,10.416,10.561,0,10.561
10.5591,10.6182,10.503,10.6182,0,10.6182
10.6195,10.6885,10.575,10.5963,0,10.5963
10.591,10.626,10.531,10.535,0,10.535
10.68,10.771,10.583,10.7411,0,10.7411
10.7411,10.798,10.67,10.7248,0,10.7248
10.7195,10.8912,10.66,10.8069,0,10.8069
10.8188,10.899,10.724,10.747,0,10.747
10.734,10.752,10.5557,10.597,0,10.597
10.6345,10.645,10.529,10.632,0,10.632
10.6315,10.7856,10.605,10.7376,0,10.7376
10.711,10.852,10.681,10.8419,0,10.8419
10.8419,10.866,10.677,10.7272,0,10.7272
10.707,10.8335,10.706,10.789,0,10.789
10.777,11.0487,10.764,11.0396,0,11.0396
11.0364,11.0435,10.896,10.9305,0,10.9305
10.927,11.001,10.886,10.952,0,10.952
10.952,11.2093,10.892,11.2055,0,11.2055
11.2055,11.2767,11.053,11.195,0,11.195
11.217,11.9711,11.195,11.8388,0,11.8388
11.8388,12.348,11.762,12.27,0,12.27
12.2923,14.17,11.962,12.277,0,12.277
12.377,13.572,11.947,13.472,0,13.472
13.43,13.9843,12.595,13.02,0,13.02
12.3202,12.8851,12.108,12.153,0,12.153
12.0858,12.5667,11.8432,12.41,0,12.41
12.402,13.38,12.345,13.315,0,13.315
13.375,13.627,12.6942,12.7551,0,12.7551
