GC.F.Open,GC.F.High,GC.F.Low,GC.F.Close,GC.F.Volume,GC.F.Adjusted
750.799988,750.799988,750.799988,752.799988,90,752.799988
760.5,774,739.099976,737.200012,24,737.200012
731.400024,736,718.400024,716.799988,17,716.799988
728.799988,731.5,728.700012,725.400024,16,725.400024
726,760,726,756,30,756
757.400024,757.400024,739,741.299988,22,741.299988
743.400024,759,731.900024,731.200012,30,731.200012
731.5,743,727.200012,733.200012,17,733.200012
749,753.599976,747.900024,745.599976,42,745.599976
734.200012,735.599976,729.799988,732,39,732
730.400024,734.700012,722.5,717.700012,71,717.700012
714.299988,715.5,707,704.900024,922,704.900024
726.5,747.099976,726.5,742.400024,9,742.400024
741.900024,741.900024,741.900024,741.900024,9,741.900024
738,744.900024,734,732.599976,13,732.599976
736,758.799988,735,735.900024,55,735.900024
740.5,750,739.5,748.599976,62,748.599976
771.299988,784.099976,771.200012,791.700012,20,791.700012
819.900024,824,819.900024,819.400024,3,819.400024
818.400024,818.400024,818.400024,818.400024,158862,818.400024
819.099976,822,806.799988,808.5,158862,808.5
NA,NA,NA,NA,NA,NA
817.200012,817.299988,766,774.599976,2791,774.599976
765.299988,786,759.700012,781.299988,1393,781.299988
780,781.900024,762.900024,768.799988,439,768.799988
770,780.400024,761.700012,763.799988,606,763.799988
764.5,769.599976,740,750.5,888,750.5
755,780.200012,754.200012,767.400024,573,767.400024
775,776.5,762.299988,772.400024,101,772.400024
784.099976,811,783.099976,807.099976,235,807.099976
803.400024,832.099976,801,824.900024,260,824.900024
821.5,827,813.799988,818.900024,182,818.900024
828,842,824,835.400024,470,835.400024
839,859,831.599976,841.700012,73,841.700012
854.400024,880.799988,849.299988,867.5,122,867.5
862.400024,873,852,859.599976,242,859.599976
846.599976,852.099976,833.299988,836.400024,106,836.400024
848.5,851,844,846.200012,235,846.200012
848,848,835,837.200012,176,837.200012
NA,NA,NA,NA,NA,NA
847,872.400024,845.799988,870.400024,88,870.400024
882.900024,882.900024,875,874.599976,426,874.599976
878.099976,878.099976,866.5,869.299988,139,869.299988
NA,NA,NA,NA,NA,NA
881.5,881.5,868.900024,878.799988,46,878.799988
882,883.5,847,857.200012,35,857.200012
855.099976,867.599976,840,865.400024,113,865.400024
862,867,837.700012,841.099976,101,841.099976
837.900024,861,837.900024,853.900024,255,853.900024
855.900024,862.099976,855.900024,854.299988,123,854.299988
844.400024,844.400024,815.400024,820.299988,72,820.299988
825.599976,825.599976,815.700012,820.099976,20,820.099976
825.900024,827.099976,814,808.200012,5,808.200012
805.599976,808.799988,805.599976,806.700012,16,806.700012
834,842.5,834,839.299988,64,839.299988
838.700012,862.700012,824,854.599976,20,854.599976
850.5,852.599976,843.799988,849.599976,37,849.599976
856.799988,860.900024,846.200012,858.200012,57,858.200012
875,899.099976,875,895.299988,52,895.299988
907.299988,911.599976,901.200012,908.5,18,908.5
902.799988,903,895.200012,899.200012,48,899.200012
886.099976,894.599976,883.700012,888.099976,137271,888.099976
888.099976,909.700012,874.200012,905.099976,66607,905.099976
909.799988,930.299988,902,927.299988,10460,927.299988
924.299988,928.799988,902.200012,906.700012,3220,906.700012
903.200012,913.299988,889.799988,892,1451,892
900.099976,909.200012,897,901.599976,465,901.599976
906.299988,924.400024,904.400024,913.599976,770,913.599976
914.5,918.5,909.5,913.900024,334,913.900024
910,911,891.799988,892.400024,984,892.400024
898,917.5,892,913.700012,252,913.700012
913.700012,947.200012,912.200012,943.799988,892,943.799988
938.799988,952.799988,936.400024,948.5,335,948.5
947.299988,947.299988,934.200012,941.5,137,941.5
939.5,973.799988,937.299988,967,1639,967
968.400024,988,962.200012,977.700012,422,977.700012
982.700012,986.200012,972,976.099976,202,976.099976
974,1004.900024,971.599976,1001.799988,219,1001.799988
995.599976,996.5,980,994.599976,215,994.599976
988,991.599976,963.200012,969.099976,243,969.099976
963.299988,977.5,953.099976,965.700012,1019,965.700012
953,956,933,941.799988,687,941.799988
943.400024,963.200012,928.099976,941.5,730,941.5
945,963.200012,924.5,939,474,939
927,931.799988,906.400024,912.900024,362,912.900024
914.900024,923.200012,900.099976,906,155,906
912,932.599976,908.900024,927,141,927
933.5,944.5,931.799988,942.099976,308,942.099976
940.5,940.5,914.5,917.700012,838,917.700012
921.599976,921.799988,892.099976,895.599976,120,895.599976
894.700012,912.400024,894.099976,910.400024,221,910.400024
909.200012,927.5,908,923.700012,118,923.700012
924.400024,937,924.400024,929.799988,69,929.799988
926.400024,929.599976,916.700012,921.599976,139,921.599976
923.200012,924.400024,912.400024,916.400024,48,916.400024
915.400024,944,885,888.700012,120,888.700012
938,960.799988,933.799988,958.299988,360,958.299988
960.599976,960.599976,954,955.799988,23,955.799988
950.700012,952.599976,937.900024,952.099976,30,952.099976
923.299988,923.299988,923.299988,923.299988,1494,923.299988
921.200012,936.5,920.799988,935.400024,97,935.400024
939.599976,943,937.599976,939.599976,66,939.599976
923,923,923,923,106869,923
924.599976,932.5,908.599976,915.5,58837,915.5
918,924.5,911.599976,922.599976,7403,922.599976
918.599976,932.5,916.900024,926.099976,3659,926.099976
926.900024,930.299988,894.900024,907.400024,3389,907.400024
904.599976,910.299988,891.299988,895.599976,1616,895.599976
895,895,865.099976,871.5,1078,871.5
